data,produto,qtd
2024-07-10,Pão Francês,7.0
2024-07-10,Café Expresso,10.0
2024-07-10,Pão Integral (kg),2.45
2024-07-10,Pão Francês,28.0
2024-07-10,Baguete,3.0
2024-07-11,Pão de Queijo,6.0
2024-07-11,Suco de Laranja,4.0
2024-07-11,Suco de Laranja,1.0
2024-07-11,Baguete,8.0
2024-07-11,Pão Francês,23.0
2024-07-11,Café Expresso,20.0
2024-07-11,Pão Francês,1.0
2024-07-11,Torta de Morango (fatia),2.0
2024-07-11,Baguete,2.0
2024-07-11,Torta de Morango (fatia),1.0
2024-07-11,Pão de Queijo,18.0
2024-07-11,Baguete,4.0
2024-07-11,Café Expresso,14.0
2024-07-11,Biscoito Caseiro (kg),0.3
2024-07-11,Café Expresso,26.0
2024-07-11,Pão de Queijo,11.0
2024-07-11,Pão Francês,11.0
2024-07-11,Café Expresso,16.0
2024-07-11,Bolo de Cenoura (fatia),3.0
2024-07-11,Pão Integral (kg),1.85
2024-07-11,Pão Doce,7.0
2024-07-11,Pão Francês,1.0
2024-07-11,Suco de Laranja,3.0
2024-07-11,Bolo de Cenoura (fatia),2.0
2024-07-11,Baguete,8.0
2024-07-11,Suco de Laranja,2.0
2024-07-11,Torta de Morango (fatia),2.0
2024-07-11,Suco de Laranja,6.0
2024-07-11,Biscoito Caseiro (kg),2.41
2024-07-11,Pão de Queijo,9.0
2024-07-11,Torta de Morango (fatia),2.0
2024-07-11,Café Expresso,16.0
2024-07-11,Baguete,4.0
2024-07-11,Suco de Laranja,1.0
2024-07-11,Torta de Morango (fatia),2.0
2024-07-11,Baguete,1.0
2024-07-11,Café Expresso,29.0
2024-07-11,Suco de Laranja,1.0
2024-07-11,Pão de Queijo,17.0
2024-07-11,Pão de Queijo,2.0
2024-07-11,Suco de Laranja,3.0
2024-07-11,Biscoito Caseiro (kg),1.34
2024-07-11,Biscoito Caseiro (kg),0.7
2024-07-11,Bolo de Cenoura (fatia),1.0
2024-07-11,Bolo de Cenoura (fatia),2.0
2024-07-11,Baguete,6.0
2024-07-11,Pão Francês,12.0
2024-07-11,Baguete,5.0
2024-07-11,Pão Integral (kg),2.31
2024-07-11,Pão Francês,2.0
2024-07-11,Torta de Morango (fatia),3.0
2024-07-11,Pão Doce,7.0
2024-07-11,Pão de Queijo,28.0
2024-07-11,Torta de Morango (fatia),1.0
2024-07-11,Pão Francês,7.0
2024-07-11,Suco de Laranja,7.0
2024-07-12,Pão Doce,2.0
2024-07-12,Café Expresso,7.0
2024-07-12,Pão de Queijo,3.0
2024-07-12,Torta de Morango (fatia),2.0
2024-07-12,Biscoito Caseiro (kg),2.46
2024-07-12,Pão Doce,5.0
2024-07-12,Biscoito Caseiro (kg),1.44
2024-07-12,Pão Francês,19.0
2024-07-12,Pão Francês,14.0
2024-07-12,Torta de Morango (fatia),2.0
2024-07-12,Biscoito Caseiro (kg),0.51
2024-07-12,Pão Integral (kg),0.8
2024-07-12,Bolo de Cenoura (fatia),1.0
2024-07-12,Baguete,8.0
2024-07-12,Pão Integral (kg),1.5
2024-07-12,Pão de Queijo,13.0
2024-07-12,Pão de Queijo,12.0
2024-07-12,Bolo de Cenoura (fatia),2.0
2024-07-12,Pão de Queijo,12.0
2024-07-12,Biscoito Caseiro (kg),0.14
2024-07-12,Baguete,6.0
2024-07-12,Café Expresso,6.0
2024-07-12,Pão Integral (kg),0.51
2024-07-12,Bolo de Cenoura (fatia),3.0
2024-07-12,Bolo de Cenoura (fatia),1.0
2024-07-12,Biscoito Caseiro (kg),0.76
2024-07-12,Biscoito Caseiro (kg),1.98
2024-07-12,Pão Doce,5.0
2024-07-12,Pão Integral (kg),0.84
2024-07-12,Bolo de Cenoura (fatia),1.0
2024-07-12,Pão de Queijo,2.0
2024-07-12,Bolo de Cenoura (fatia),2.0
2024-07-12,Pão de Queijo,23.0
2024-07-12,Pão Francês,18.0
2024-07-12,Biscoito Caseiro (kg),0.52
2024-07-12,Suco de Laranja,1.0
2024-07-12,Bolo de Cenoura (fatia),2.0
2024-07-12,Pão Integral (kg),0.25
2024-07-12,Pão Integral (kg),0.54
2024-07-12,Baguete,8.0
2024-07-12,Pão Doce,1.0
2024-07-12,Biscoito Caseiro (kg),1.78
2024-07-12,Baguete,8.0
2024-07-12,Suco de Laranja,8.0
2024-07-12,Biscoito Caseiro (kg),1.29
2024-07-12,Pão Integral (kg),1.71
2024-07-12,Pão Doce,7.0
2024-07-12,Biscoito Caseiro (kg),1.83
2024-07-12,Baguete,8.0
2024-07-12,Baguete,1.0
2024-07-12,Pão Integral (kg),0.23
2024-07-12,Pão de Queijo,20.0
2024-07-12,Pão de Queijo,10.0
2024-07-12,Baguete,3.0
2024-07-12,Baguete,1.0
2024-07-12,Pão Francês,15.0
2024-07-12,Pão Integral (kg),1.46
2024-07-12,Café Expresso,16.0
2024-07-12,Biscoito Caseiro (kg),0.97
2024-07-12,Bolo de Cenoura (fatia),2.0
2024-07-12,Suco de Laranja,5.0
2024-07-12,Pão Integral (kg),0.86
2024-07-12,Biscoito Caseiro (kg),1.21
2024-07-12,Pão de Queijo,7.0
2024-07-12,Pão Francês,26.0
2024-07-12,Pão Doce,6.0
2024-07-12,Pão Francês,6.0
2024-07-12,Pão Doce,4.0
2024-07-12,Pão Francês,15.0
2024-07-12,Pão Doce,8.0
2024-07-12,Pão Francês,15.0
2024-07-12,Café Expresso,5.0
2024-07-12,Pão Francês,24.0
2024-07-12,Pão Integral (kg),1.33
2024-07-12,Pão Francês,25.0
2024-07-12,Torta de Morango (fatia),2.0
2024-07-12,Torta de Morango (fatia),3.0
2024-07-12,Pão Integral (kg),0.64
2024-07-12,Pão Francês,25.0
2024-07-12,Torta de Morango (fatia),3.0
2024-07-13,Biscoito Caseiro (kg),1.28
2024-07-13,Pão de Queijo,29.0
2024-07-13,Pão de Queijo,30.0
2024-07-13,Pão de Queijo,3.0
2024-07-13,Pão Francês,19.0
2024-07-13,Café Expresso,12.0
2024-07-13,Pão Integral (kg),1.67
2024-07-13,Torta de Morango (fatia),3.0
2024-07-13,Torta de Morango (fatia),3.0
2024-07-13,Baguete,3.0
2024-07-13,Pão Doce,2.0
2024-07-13,Café Expresso,13.0
2024-07-13,Suco de Laranja,1.0
2024-07-13,Pão de Queijo,9.0
2024-07-13,Pão de Queijo,16.0
2024-07-13,Torta de Morango (fatia),1.0
2024-07-13,Pão Francês,18.0
2024-07-13,Torta de Morango (fatia),1.0
2024-07-13,Pão Doce,8.0
2024-07-13,Baguete,5.0
2024-07-13,Bolo de Cenoura (fatia),3.0
2024-07-13,Pão de Queijo,5.0
2024-07-13,Pão de Queijo,7.0
2024-07-13,Café Expresso,5.0
2024-07-13,Pão Francês,21.0
2024-07-13,Pão Doce,3.0
2024-07-13,Pão Doce,4.0
2024-07-13,Café Expresso,20.0
2024-07-13,Pão de Queijo,13.0
2024-07-13,Café Expresso,4.0
2024-07-13,Café Expresso,13.0
2024-07-13,Baguete,2.0
2024-07-13,Bolo de Cenoura (fatia),3.0
2024-07-13,Torta de Morango (fatia),1.0
2024-07-13,Bolo de Cenoura (fatia),3.0
2024-07-13,Suco de Laranja,5.0
2024-07-13,Pão Francês,15.0
2024-07-13,Café Expresso,28.0
2024-07-13,Pão Francês,25.0
2024-07-13,Pão Francês,9.0
2024-07-13,Pão Doce,4.0
2024-07-13,Baguete,6.0
2024-07-13,Pão Integral (kg),2.14
2024-07-13,Café Expresso,4.0
2024-07-13,Baguete,5.0
2024-07-13,Pão de Queijo,16.0
2024-07-13,Pão Integral (kg),0.89
2024-07-13,Pão de Queijo,27.0
2024-07-13,Baguete,4.0
2024-07-13,Pão Integral (kg),0.13
2024-07-13,Pão Francês,11.0
2024-07-13,Pão de Queijo,25.0
2024-07-13,Suco de Laranja,2.0
2024-07-13,Pão Integral (kg),0.21
2024-07-13,Biscoito Caseiro (kg),1.4
2024-07-13,Pão Francês,4.0
2024-07-13,Café Expresso,3.0
2024-07-13,Pão de Queijo,23.0
2024-07-13,Pão Francês,1.0
2024-07-13,Biscoito Caseiro (kg),2.31
2024-07-13,Bolo de Cenoura (fatia),3.0
2024-07-13,Baguete,2.0
2024-07-13,Pão Integral (kg),2.28
2024-07-13,Pão Doce,4.0
2024-07-13,Biscoito Caseiro (kg),1.39
2024-07-13,Bolo de Cenoura (fatia),2.0
2024-07-13,Bolo de Cenoura (fatia),3.0
2024-07-13,Torta de Morango (fatia),2.0
2024-07-14,Baguete,5.0
2024-07-14,Suco de Laranja,4.0
2024-07-14,Pão de Queijo,15.0
2024-07-14,Pão de Queijo,5.0
2024-07-14,Pão de Queijo,17.0
2024-07-14,Biscoito Caseiro (kg),0.46
2024-07-14,Biscoito Caseiro (kg),0.37
2024-07-14,Torta de Morango (fatia),2.0
2024-07-14,Pão Integral (kg),0.72
2024-07-14,Torta de Morango (fatia),3.0
2024-07-14,Pão de Queijo,30.0
2024-07-14,Pão de Queijo,2.0
2024-07-14,Café Expresso,12.0
2024-07-14,Torta de Morango (fatia),1.0
2024-07-14,Pão Doce,3.0
2024-07-14,Bolo de Cenoura (fatia),2.0
2024-07-14,Pão de Queijo,2.0
2024-07-14,Biscoito Caseiro (kg),1.7
2024-07-14,Pão Francês,7.0
2024-07-14,Pão de Queijo,25.0
2024-07-14,Bolo de Cenoura (fatia),1.0
2024-07-14,Pão Francês,5.0
2024-07-14,Pão Integral (kg),0.95
2024-07-14,Suco de Laranja,3.0
2024-07-14,Bolo de Cenoura (fatia),3.0
2024-07-14,Café Expresso,26.0
2024-07-14,Biscoito Caseiro (kg),0.24
2024-07-14,Bolo de Cenoura (fatia),2.0
2024-07-14,Suco de Laranja,6.0
2024-07-14,Pão de Queijo,4.0
2024-07-14,Café Expresso,11.0
2024-07-14,Pão de Queijo,11.0
2024-07-14,Biscoito Caseiro (kg),1.15
2024-07-15,Bolo de Cenoura (fatia),2.0
2024-07-15,Bolo de Cenoura (fatia),3.0
2024-07-15,Baguete,4.0
2024-07-15,Pão Francês,30.0
2024-07-15,Pão de Queijo,2.0
2024-07-15,Pão de Queijo,2.0
2024-07-15,Pão de Queijo,23.0
2024-07-15,Pão de Queijo,18.0
2024-07-15,Pão Integral (kg),1.02
2024-07-15,Pão Doce,8.0
2024-07-15,Bolo de Cenoura (fatia),1.0
2024-07-15,Pão de Queijo,6.0
2024-07-15,Baguete,8.0
2024-07-15,Baguete,5.0
2024-07-15,Baguete,1.0
2024-07-15,Torta de Morango (fatia),2.0
2024-07-15,Bolo de Cenoura (fatia),1.0
2024-07-15,Bolo de Cenoura (fatia),3.0
2024-07-15,Pão de Queijo,2.0
2024-07-15,Baguete,8.0
2024-07-15,Pão Francês,28.0
2024-07-15,Bolo de Cenoura (fatia),2.0
2024-07-15,Bolo de Cenoura (fatia),1.0
2024-07-15,Café Expresso,3.0
2024-07-15,Baguete,4.0
2024-07-15,Bolo de Cenoura (fatia),1.0
2024-07-15,Café Expresso,5.0
2024-07-15,Pão de Queijo,12.0
2024-07-15,Pão Francês,13.0
2024-07-15,Suco de Laranja,6.0
2024-07-15,Pão Integral (kg),1.76
2024-07-15,Suco de Laranja,8.0
2024-07-15,Pão Doce,5.0
2024-07-15,Pão Francês,29.0
2024-07-15,Biscoito Caseiro (kg),1.03
2024-07-15,Torta de Morango (fatia),2.0
2024-07-15,Pão Francês,18.0
2024-07-15,Biscoito Caseiro (kg),1.42
2024-07-15,Bolo de Cenoura (fatia),2.0
2024-07-15,Torta de Morango (fatia),3.0
2024-07-16,Bolo de Cenoura (fatia),1.0
2024-07-16,Pão de Queijo,3.0
2024-07-16,Pão Francês,3.0
2024-07-16,Pão Francês,30.0
2024-07-16,Pão Francês,20.0
2024-07-16,Bolo de Cenoura (fatia),2.0
2024-07-16,Torta de Morango (fatia),3.0
2024-07-16,Café Expresso,1.0
2024-07-16,Biscoito Caseiro (kg),1.6
2024-07-16,Biscoito Caseiro (kg),0.67
2024-07-16,Biscoito Caseiro (kg),1.4
2024-07-16,Pão Doce,5.0
2024-07-16,Suco de Laranja,3.0
2024-07-16,Pão Integral (kg),1.97
2024-07-16,Pão Francês,25.0
2024-07-16,Pão Integral (kg),0.97
2024-07-16,Suco de Laranja,6.0
2024-07-16,Pão Doce,8.0
2024-07-16,Café Expresso,10.0
2024-07-16,Torta de Morango (fatia),1.0
2024-07-16,Pão de Queijo,11.0
2024-07-16,Café Expresso,22.0
2024-07-16,Bolo de Cenoura (fatia),2.0
2024-07-16,Pão de Queijo,12.0
2024-07-16,Suco de Laranja,4.0
2024-07-16,Pão de Queijo,24.0
2024-07-16,Pão Francês,26.0
2024-07-16,Torta de Morango (fatia),1.0
2024-07-16,Café Expresso,23.0
2024-07-16,Torta de Morango (fatia),1.0
2024-07-16,Torta de Morango (fatia),3.0
2024-07-16,Baguete,2.0
2024-07-16,Suco de Laranja,2.0
2024-07-16,Café Expresso,9.0
2024-07-16,Pão Doce,5.0
2024-07-16,Pão Integral (kg),0.62
2024-07-16,Torta de Morango (fatia),2.0
2024-07-16,Bolo de Cenoura (fatia),2.0
2024-07-16,Pão de Queijo,18.0
2024-07-16,Suco de Laranja,5.0
2024-07-16,Biscoito Caseiro (kg),1.57
2024-07-16,Biscoito Caseiro (kg),0.71
2024-07-16,Bolo de Cenoura (fatia),3.0
2024-07-16,Pão de Queijo,9.0
2024-07-17,Biscoito Caseiro (kg),1.12
2024-07-17,Café Expresso,2.0
2024-07-17,Pão Francês,9.0
2024-07-17,Pão de Queijo,6.0
2024-07-17,Café Expresso,12.0
2024-07-17,Baguete,1.0
2024-07-17,Baguete,2.0
2024-07-17,Torta de Morango (fatia),2.0
2024-07-17,Biscoito Caseiro (kg),1.73
2024-07-17,Pão Integral (kg),1.5
2024-07-17,Bolo de Cenoura (fatia),1.0
2024-07-17,Café Expresso,16.0
2024-07-17,Torta de Morango (fatia),3.0
2024-07-17,Pão Francês,12.0
2024-07-17,Pão de Queijo,23.0
2024-07-17,Biscoito Caseiro (kg),0.46
2024-07-17,Biscoito Caseiro (kg),2.27
2024-07-17,Torta de Morango (fatia),3.0
2024-07-17,Pão Francês,24.0
2024-07-17,Torta de Morango (fatia),1.0
2024-07-17,Pão Integral (kg),1.36
2024-07-17,Torta de Morango (fatia),2.0
2024-07-17,Pão de Queijo,13.0
2024-07-17,Biscoito Caseiro (kg),2.44
2024-07-17,Biscoito Caseiro (kg),1.07
2024-07-17,Biscoito Caseiro (kg),0.59
2024-07-17,Pão Doce,3.0
2024-07-17,Torta de Morango (fatia),3.0
2024-07-17,Baguete,3.0
2024-07-17,Café Expresso,18.0
2024-07-17,Café Expresso,12.0
2024-07-17,Pão Doce,7.0
2024-07-17,Suco de Laranja,2.0
2024-07-17,Biscoito Caseiro (kg),2.43
2024-07-17,Café Expresso,9.0
2024-07-17,Bolo de Cenoura (fatia),3.0
2024-07-17,Pão Francês,16.0
2024-07-17,Café Expresso,20.0
2024-07-17,Pão Francês,22.0
2024-07-17,Pão de Queijo,18.0
2024-07-17,Pão de Queijo,3.0
2024-07-17,Baguete,4.0
2024-07-17,Baguete,7.0
2024-07-17,Baguete,5.0
2024-07-17,Baguete,1.0
2024-07-17,Pão de Queijo,14.0
2024-07-17,Suco de Laranja,4.0
2024-07-17,Baguete,3.0
2024-07-17,Café Expresso,18.0
2024-07-17,Pão Francês,27.0
2024-07-17,Pão de Queijo,23.0
2024-07-17,Biscoito Caseiro (kg),1.72
2024-07-17,Pão Integral (kg),0.44
2024-07-17,Torta de Morango (fatia),2.0
2024-07-17,Café Expresso,25.0
2024-07-17,Pão Francês,6.0
2024-07-17,Café Expresso,11.0
2024-07-17,Pão Doce,5.0
2024-07-17,Baguete,6.0
2024-07-17,Pão Doce,7.0
2024-07-17,Café Expresso,9.0
2024-07-17,Pão Doce,5.0
2024-07-17,Torta de Morango (fatia),1.0
2024-07-17,Suco de Laranja,8.0
2024-07-17,Suco de Laranja,7.0
2024-07-17,Torta de Morango (fatia),1.0
2024-07-17,Suco de Laranja,4.0
2024-07-17,Pão Integral (kg),2.45
2024-07-17,Bolo de Cenoura (fatia),3.0
2024-07-17,Torta de Morango (fatia),1.0
2024-07-17,Suco de Laranja,5.0
2024-07-17,Café Expresso,15.0
2024-07-18,Suco de Laranja,7.0
2024-07-18,Pão Integral (kg),1.85
2024-07-18,Biscoito Caseiro (kg),2.27
2024-07-18,Torta de Morango (fatia),1.0
2024-07-18,Pão Francês,15.0
2024-07-18,Bolo de Cenoura (fatia),3.0
2024-07-18,Baguete,3.0
2024-07-18,Baguete,8.0
2024-07-18,Pão Francês,1.0
2024-07-18,Suco de Laranja,7.0
2024-07-18,Café Expresso,9.0
2024-07-18,Café Expresso,27.0
2024-07-18,Pão Integral (kg),2.45
2024-07-18,Café Expresso,16.0
2024-07-18,Suco de Laranja,4.0
2024-07-18,Café Expresso,3.0
2024-07-18,Pão Integral (kg),0.9
2024-07-18,Baguete,1.0
2024-07-18,Pão Doce,1.0
2024-07-18,Biscoito Caseiro (kg),1.73
2024-07-18,Baguete,5.0
2024-07-18,Torta de Morango (fatia),3.0
2024-07-18,Biscoito Caseiro (kg),1.95
2024-07-18,Pão de Queijo,27.0
2024-07-18,Biscoito Caseiro (kg),2.2
2024-07-18,Pão Doce,8.0
2024-07-18,Baguete,6.0
2024-07-18,Suco de Laranja,6.0
2024-07-18,Suco de Laranja,3.0
2024-07-18,Biscoito Caseiro (kg),1.37
2024-07-18,Pão Francês,12.0
2024-07-18,Suco de Laranja,6.0
2024-07-18,Bolo de Cenoura (fatia),1.0
2024-07-18,Pão Integral (kg),0.81
2024-07-18,Bolo de Cenoura (fatia),2.0
2024-07-18,Pão Integral (kg),1.74
2024-07-18,Pão Francês,29.0
2024-07-18,Café Expresso,21.0
2024-07-18,Café Expresso,24.0
2024-07-18,Pão Doce,7.0
2024-07-18,Torta de Morango (fatia),3.0
2024-07-18,Pão Integral (kg),1.29
2024-07-18,Pão Francês,28.0
2024-07-18,Pão Francês,1.0
2024-07-18,Pão Francês,25.0
2024-07-18,Pão Doce,2.0
2024-07-18,Pão de Queijo,22.0
2024-07-18,Suco de Laranja,8.0
2024-07-18,Café Expresso,5.0
2024-07-18,Bolo de Cenoura (fatia),1.0
2024-07-18,Café Expresso,13.0
2024-07-18,Pão Francês,8.0
2024-07-18,Café Expresso,17.0
2024-07-18,Pão Doce,7.0
2024-07-18,Pão Doce,1.0
2024-07-18,Suco de Laranja,8.0
2024-07-18,Pão Francês,23.0
2024-07-18,Torta de Morango (fatia),1.0
2024-07-18,Pão Francês,17.0
2024-07-18,Bolo de Cenoura (fatia),1.0
2024-07-18,Pão de Queijo,5.0
2024-07-18,Suco de Laranja,5.0
2024-07-19,Biscoito Caseiro (kg),1.55
2024-07-19,Pão de Queijo,27.0
2024-07-19,Bolo de Cenoura (fatia),3.0
2024-07-19,Torta de Morango (fatia),2.0
2024-07-19,Bolo de Cenoura (fatia),2.0
2024-07-19,Torta de Morango (fatia),1.0
2024-07-19,Pão Francês,28.0
2024-07-19,Pão de Queijo,20.0
2024-07-19,Biscoito Caseiro (kg),1.87
2024-07-19,Café Expresso,13.0
2024-07-19,Pão Francês,2.0
2024-07-19,Pão Francês,15.0
2024-07-19,Pão de Queijo,20.0
2024-07-19,Torta de Morango (fatia),1.0
2024-07-19,Pão Doce,6.0
2024-07-19,Torta de Morango (fatia),1.0
2024-07-19,Bolo de Cenoura (fatia),3.0
2024-07-19,Baguete,7.0
2024-07-19,Pão Integral (kg),0.89
2024-07-19,Suco de Laranja,5.0
2024-07-19,Pão Doce,5.0
2024-07-19,Biscoito Caseiro (kg),1.41
2024-07-19,Biscoito Caseiro (kg),1.56
2024-07-19,Café Expresso,13.0
2024-07-19,Biscoito Caseiro (kg),2.2
2024-07-19,Baguete,7.0
2024-07-19,Pão Doce,5.0
2024-07-19,Suco de Laranja,1.0
2024-07-19,Pão Integral (kg),2.41
2024-07-19,Suco de Laranja,1.0
2024-07-19,Pão de Queijo,6.0
2024-07-19,Baguete,4.0
2024-07-19,Pão Integral (kg),1.28
2024-07-19,Pão de Queijo,15.0
2024-07-19,Pão Francês,21.0
2024-07-19,Pão de Queijo,24.0
2024-07-19,Suco de Laranja,8.0
2024-07-19,Pão Francês,3.0
2024-07-19,Pão Integral (kg),1.58
2024-07-19,Pão de Queijo,23.0
2024-07-19,Suco de Laranja,3.0
2024-07-19,Bolo de Cenoura (fatia),1.0
2024-07-19,Café Expresso,16.0
2024-07-19,Pão de Queijo,22.0
2024-07-19,Pão Integral (kg),0.4
2024-07-19,Pão de Queijo,9.0
2024-07-19,Bolo de Cenoura (fatia),1.0
2024-07-19,Torta de Morango (fatia),1.0
2024-07-19,Bolo de Cenoura (fatia),3.0
2024-07-19,Bolo de Cenoura (fatia),2.0
2024-07-19,Pão de Queijo,25.0
2024-07-19,Bolo de Cenoura (fatia),2.0
2024-07-19,Pão Doce,3.0
2024-07-19,Pão Francês,17.0
2024-07-19,Café Expresso,18.0
2024-07-19,Biscoito Caseiro (kg),2.29
2024-07-19,Torta de Morango (fatia),2.0
2024-07-19,Pão de Queijo,20.0
2024-07-19,Pão Doce,5.0
2024-07-19,Pão de Queijo,10.0
2024-07-19,Pão Integral (kg),1.58
2024-07-20,Torta de Morango (fatia),1.0
2024-07-20,Café Expresso,5.0
2024-07-20,Torta de Morango (fatia),2.0
2024-07-20,Pão Integral (kg),1.32
2024-07-20,Biscoito Caseiro (kg),0.79
2024-07-20,Pão Doce,6.0
2024-07-20,Pão Doce,2.0
2024-07-20,Pão Doce,1.0
2024-07-20,Bolo de Cenoura (fatia),2.0
2024-07-20,Pão Francês,26.0
2024-07-20,Baguete,8.0
2024-07-20,Torta de Morango (fatia),3.0
2024-07-20,Pão Francês,12.0
2024-07-20,Baguete,7.0
2024-07-20,Pão Francês,28.0
2024-07-20,Baguete,7.0
2024-07-20,Biscoito Caseiro (kg),2.06
2024-07-20,Torta de Morango (fatia),3.0
2024-07-20,Pão Doce,7.0
2024-07-20,Pão Doce,4.0
2024-07-20,Baguete,5.0
2024-07-20,Pão de Queijo,12.0
2024-07-20,Pão Doce,3.0
2024-07-20,Pão Francês,8.0
2024-07-20,Torta de Morango (fatia),2.0
2024-07-20,Pão de Queijo,23.0
2024-07-20,Café Expresso,18.0
2024-07-20,Pão Integral (kg),2.43
2024-07-20,Torta de Morango (fatia),1.0
2024-07-20,Pão Francês,24.0
2024-07-20,Pão Francês,26.0
2024-07-20,Pão de Queijo,28.0
2024-07-20,Suco de Laranja,1.0
2024-07-20,Biscoito Caseiro (kg),0.87
2024-07-20,Torta de Morango (fatia),3.0
2024-07-20,Pão Doce,7.0
2024-07-20,Café Expresso,7.0
2024-07-20,Pão de Queijo,16.0
2024-07-20,Suco de Laranja,4.0
2024-07-20,Pão Francês,10.0
2024-07-20,Torta de Morango (fatia),2.0
2024-07-20,Pão Doce,6.0
2024-07-20,Torta de Morango (fatia),3.0
2024-07-20,Torta de Morango (fatia),3.0
2024-07-20,Pão Integral (kg),2.01
2024-07-20,Biscoito Caseiro (kg),2.3
2024-07-20,Pão Doce,5.0
2024-07-20,Pão Francês,6.0
2024-07-20,Pão Doce,8.0
2024-07-20,Pão Doce,3.0
2024-07-20,Café Expresso,16.0
2024-07-20,Torta de Morango (fatia),2.0
2024-07-20,Biscoito Caseiro (kg),0.94
2024-07-20,Café Expresso,3.0
2024-07-20,Pão Francês,27.0
2024-07-20,Baguete,7.0
2024-07-20,Baguete,2.0
2024-07-20,Pão Doce,3.0
2024-07-20,Pão Francês,13.0
2024-07-20,Café Expresso,4.0
2024-07-21,Biscoito Caseiro (kg),1.66
2024-07-21,Pão Integral (kg),1.75
2024-07-21,Suco de Laranja,8.0
2024-07-21,Bolo de Cenoura (fatia),1.0
2024-07-21,Bolo de Cenoura (fatia),1.0
2024-07-21,Pão Francês,13.0
2024-07-21,Pão Doce,8.0
2024-07-21,Pão Integral (kg),1.17
2024-07-21,Suco de Laranja,7.0
2024-07-21,Pão Doce,3.0
2024-07-21,Pão Integral (kg),2.01
2024-07-21,Biscoito Caseiro (kg),1.88
2024-07-21,Pão Francês,5.0
2024-07-21,Pão Integral (kg),2.45
2024-07-21,Suco de Laranja,4.0
2024-07-21,Pão Francês,30.0
2024-07-21,Café Expresso,8.0
2024-07-21,Biscoito Caseiro (kg),0.59
2024-07-21,Café Expresso,24.0
2024-07-21,Pão Francês,16.0
2024-07-21,Bolo de Cenoura (fatia),2.0
2024-07-21,Baguete,5.0
2024-07-21,Torta de Morango (fatia),1.0
2024-07-21,Baguete,3.0
2024-07-21,Biscoito Caseiro (kg),1.6
2024-07-21,Torta de Morango (fatia),3.0
2024-07-21,Suco de Laranja,8.0
2024-07-21,Pão Doce,8.0
2024-07-21,Pão Integral (kg),2.23
2024-07-21,Pão Francês,20.0
2024-07-21,Baguete,5.0
2024-07-21,Torta de Morango (fatia),2.0
2024-07-21,Pão Integral (kg),1.47
2024-07-21,Torta de Morango (fatia),2.0
2024-07-21,Biscoito Caseiro (kg),2.12
2024-07-21,Pão Francês,4.0
2024-07-21,Bolo de Cenoura (fatia),1.0
2024-07-21,Pão Integral (kg),1.83
2024-07-21,Pão de Queijo,13.0
2024-07-21,Pão Doce,4.0
2024-07-21,Bolo de Cenoura (fatia),2.0
2024-07-22,Torta de Morango (fatia),2.0
2024-07-22,Pão Integral (kg),2.14
2024-07-22,Biscoito Caseiro (kg),0.32
2024-07-22,Pão Francês,22.0
2024-07-22,Pão Integral (kg),0.49
2024-07-22,Suco de Laranja,1.0
2024-07-22,Pão Integral (kg),2.43
2024-07-22,Café Expresso,24.0
2024-07-22,Pão de Queijo,23.0
2024-07-22,Café Expresso,17.0
2024-07-22,Pão Integral (kg),0.1
2024-07-22,Suco de Laranja,4.0
2024-07-22,Pão Integral (kg),2.47
2024-07-22,Pão Doce,6.0
2024-07-22,Pão Integral (kg),2.15
2024-07-22,Baguete,2.0
2024-07-22,Pão Francês,8.0
2024-07-22,Pão de Queijo,5.0
2024-07-22,Pão de Queijo,9.0
2024-07-22,Pão de Queijo,22.0
2024-07-22,Bolo de Cenoura (fatia),2.0
2024-07-22,Baguete,2.0
2024-07-22,Pão Integral (kg),1.48
2024-07-22,Pão Integral (kg),0.76
2024-07-22,Suco de Laranja,7.0
2024-07-22,Café Expresso,17.0
2024-07-22,Biscoito Caseiro (kg),1.98
2024-07-22,Baguete,6.0
2024-07-22,Baguete,8.0
2024-07-22,Pão de Queijo,6.0
2024-07-22,Pão Integral (kg),1.52
2024-07-22,Suco de Laranja,2.0
2024-07-22,Biscoito Caseiro (kg),0.35
2024-07-22,Pão Integral (kg),1.77
2024-07-22,Bolo de Cenoura (fatia),2.0
2024-07-22,Pão Doce,1.0
2024-07-22,Torta de Morango (fatia),2.0
2024-07-22,Pão de Queijo,13.0
2024-07-22,Pão Francês,6.0
2024-07-22,Baguete,6.0
2024-07-22,Suco de Laranja,4.0
2024-07-22,Baguete,2.0
2024-07-22,Pão Doce,1.0
2024-07-22,Pão Doce,7.0
2024-07-22,Bolo de Cenoura (fatia),3.0
2024-07-22,Pão de Queijo,24.0
2024-07-22,Pão Doce,2.0
2024-07-22,Suco de Laranja,1.0
2024-07-22,Pão Francês,27.0
2024-07-22,Pão Doce,5.0
2024-07-22,Pão de Queijo,5.0
2024-07-23,Café Expresso,2.0
2024-07-23,Café Expresso,18.0
2024-07-23,Pão Integral (kg),0.92
2024-07-23,Suco de Laranja,6.0
2024-07-23,Pão Integral (kg),0.9
2024-07-23,Café Expresso,28.0
2024-07-23,Torta de Morango (fatia),1.0
2024-07-23,Pão Integral (kg),1.95
2024-07-23,Suco de Laranja,2.0
2024-07-23,Bolo de Cenoura (fatia),1.0
2024-07-23,Baguete,7.0
2024-07-23,Café Expresso,29.0
